,city
0,Tangerang Kabupaten
1,Jakarta Pusat
2,Jakarta Selatan
3,Sukabumi Kota
4,Bekasi Kota
5,Tangerang Kota
6,Jakarta Timur
7,Bogor Kabupaten
8,Bekasi Kota
9,Jakarta Pusat
10,Depok
11,Depok
12,Jakarta Pusat
13,Bekasi Kota
14,Jakarta Pusat
15,Tangerang Kabupaten
16,Bekasi Kota
17,Jakarta Timur
18,Tangerang Kabupaten
19,Tangerang Selatan
20,Jakarta Timur
21,Tangerang Kota
22,Sukabumi Kabupaten
23,Jakarta Selatan
24,Bogor Kota
25,Jakarta Timur
26,Bogor Kota
27,Bekasi Kabupaten
28,Jakarta Pusat
29,Jakarta Timur
30,Bekasi Kabupaten
31,Jakarta Timur
32,Depok
33,Jakarta Pusat
34,Cianjur
35,Tangerang Kota
36,Bogor Kabupaten
37,Tangerang Kota
38,Tangerang Selatan
39,Jakarta Timur
40,Jakarta Timur
41,Jakarta Timur
42,Jakarta Timur
43,Depok
44,Bogor Kota
45,Depok
46,Tangerang Kota
47,Bogor Kota
48,Jakarta Pusat
49,Jakarta Selatan
50,Bekasi Kota
51,Jakarta Pusat
52,Jakarta Barat
53,Jakarta Timur
54,Jakarta Timur
55,Bogor Kota
56,Tangerang Kota
57,Bekasi Kota
58,Bogor Kabupaten
59,Jakarta Timur
60,Jakarta Pusat
61,Karawang
62,Jakarta Timur
63,Bogor Kota
64,Bekasi Kabupaten
65,Bogor Kota
66,Depok
67,Cianjur
68,Depok
69,Tangerang Selatan
70,Tangerang Kota
71,Bekasi Kabupaten
72,Bekasi Kota
73,Jakarta Pusat
74,Jakarta Barat
75,Bekasi Kota
76,Tangerang Kota
77,Bogor Kota
78,Jakarta Timur
79,Jakarta Pusat
80,Jakarta Pusat
81,Bekasi Kabupaten
82,Jakarta Timur
83,Bogor Kota
84,Jakarta Pusat
85,Karawang
86,Tangerang Kota
87,Depok
88,Tangerang Kota
89,Depok
90,Bogor Kabupaten
91,Jakarta Barat
92,Jakarta Selatan
93,Bogor Kota
94,Tangerang Kota
95,Bogor Kabupaten
96,Karawang
97,Tangerang Selatan
98,Tangerang Selatan
99,Bekasi Kota
100,Bogor Kabupaten
101,Jakarta Barat
102,Jakarta Pusat
103,Bekasi Kabupaten
104,Jakarta Selatan
105,Karawang
106,Cianjur
107,Depok
108,Jakarta Barat
109,Bogor Kabupaten
110,Jakarta Timur
111,Jakarta Timur
112,Bogor Kabupaten
113,Bogor Kabupaten
114,Sukabumi Kabupaten
115,Tangerang Kota
116,Bogor Kabupaten
117,Jakarta Timur
118,Karawang
119,Cianjur
120,Jakarta Pusat
121,Jakarta Utara
122,Jakarta Timur
123,Bekasi Kabupaten
124,Jakarta Timur
125,Jakarta Pusat
126,Bekasi Kota
127,Bogor Kabupaten
128,Jakarta Pusat
129,Jakarta Pusat
130,Jakarta Barat
131,Jakarta Timur
132,Jakarta Pusat
133,Tangerang Selatan
134,Karawang
135,Bekasi Kota
136,Jakarta Pusat
137,Tangerang Kota
138,Bogor Kota
139,Bekasi Kabupaten
140,Jakarta Selatan
141,Jakarta Pusat
142,Sukabumi Kabupaten
143,Cianjur
144,Karawang
145,Jakarta Timur
