,city_page
0,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
1,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
2,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
3,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
4,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
5,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
6,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
7,"{'display_name': 'Klapanunggal, Jawa Barat, Indonesia', 'id': '109224022431156'}"
8,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
9,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
10,"{'display_name': 'Depok', 'id': '106187686078679'}"
11,"{'display_name': 'Depok', 'id': '106187686078679'}"
12,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
13,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
14,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
15,"{'display_name': 'Binong, Indonesia', 'id': '136562986405352'}"
16,"{'display_name': 'Bekasi', 'id': '112413425436794'}"
17,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
18,"{'display_name': 'Pakuhaji, Jawa Barat, Indonesia', 'id': '113477811998744'}"
19,"{'display_name': 'Serpong, Jawa Barat, Indonesia', 'id': '108779339150483'}"
20,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
21,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
22,"{'display_name': 'Cipurut, Jawa Barat, Indonesia', 'id': '104353902937522'}"
23,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
24,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
25,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
26,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
27,"{'display_name': 'Cikarang, Indonesia', 'id': '146430925411104'}"
28,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
29,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
